Temperature,Humidity,Storage_Days,Spoilage_Label,Grain_Type,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall
8.75,88.6,585,Spoiled,5,1.244,6.97,87.0,1,19.26,1.01
15.11,47.68,66,Safe,5,0.421,4.08,24.3,0,12.3,2.05
15.63,45.2,579,Spoiled,5,0.468,3.8,145.4,0,17.87,5.13
17.05,63.23,22,Risky,5,1.059,10.0,119.5,1,14.64,0.39
22.72,51.14,229,Spoiled,5,0.706,12.09,82.4,1,18.27,0.86
35.62,52.04,28,Risky,5,0.843,24.23,66.6,0,12.97,0.3
17.84,60.95,672,Spoiled,5,0.679,10.2,82.5,0,17.76,11.67
37.65,80.51,569,Spoiled,5,0.874,33.7,89.5,0,15.18,2.09
26.84,45.41,540,Spoiled,5,0.655,14.03,49.6,0,19.67,1.76
7.08,42.12,178,Risky,5,1.143,-4.92,159.4,1,14.3,0.72
19.62,64.05,443,Safe,5,0.504,12.63,145.7,0,12.92,3.36
7.33,71.82,143,Risky,5,0.07,2.58,57.8,0,11.97,5.32
22.88,72.38,153,Spoiled,5,1.149,17.64,174.3,0,18.49,2.16
23.17,78.99,455,Spoiled,5,1.423,19.32,158.7,0,14.5,13.86
12.36,61.98,442,Risky,5,0.557,5.28,30.7,0,15.73,0.85
20.8,89.06,19,Spoiled,5,0.739,18.93,20.2,0,17.15,2.11
10.91,36.74,431,Safe,5,1.062,-3.3,121.7,0,10.66,1.45
34.76,43.14,230,Risky,5,0.423,20.36,168.4,0,14.43,1.35
31.27,79.11,677,Spoiled,5,1.312,27.2,193.8,0,17.85,4.07
23.55,80.5,338,Spoiled,5,1.186,19.99,45.5,0,14.96,0.56
14.68,72.37,200,Risky,5,1.101,9.76,25.3,0,15.97,2.84
12.9,53.13,23,Risky,5,1.217,3.58,82.9,1,13.4,1.64
6.78,52.35,4,Safe,5,1.281,-2.29,33.8,0,13.61,1.34
20.68,87.05,17,Spoiled,5,1.332,18.44,151.1,0,18.45,4.05
5.29,56.81,50,Risky,5,0.299,-2.58,22.7,1,9.71,0.48
19.46,89.1,319,Spoiled,5,1.061,17.61,54.3,1,18.09,6.36
10.67,78.1,591,Spoiled,5,1.009,7.01,162.2,0,17.76,2.67
21.36,71.1,65,Risky,5,0.167,15.9,113.1,1,12.66,0.63
30.07,48.66,371,Spoiled,5,0.627,18.05,88.8,0,15.82,0.51
9.41,78.98,611,Spoiled,5,0.328,5.95,195.8,0,17.05,1.21
12.15,74.52,190,Safe,5,1.037,7.76,45.5,0,9.78,0.43
10.65,75.66,136,Spoiled,5,0.608,6.53,42.2,0,19.91,1.18
10.2,36.95,522,Spoiled,5,0.554,-3.86,62.7,0,18.63,1.73
35.69,89.94,596,Spoiled,5,0.462,33.77,166.1,1,18.58,0.79
15.27,54.92,141,Risky,5,0.352,6.26,191.9,0,16.54,0.0
20.52,51.61,298,Risky,5,1.13,10.21,53.6,0,13.7,1.83
36.9,54.54,576,Spoiled,5,1.148,26.2,116.2,0,18.75,1.97
24.17,44.91,586,Risky,5,0.224,11.45,114.9,0,11.92,4.83
25.4,85.01,617,Spoiled,5,0.418,22.69,186.6,0,16.04,1.09
10.06,68.08,622,Spoiled,5,0.63,4.44,89.6,0,19.3,2.89
34.33,55.37,208,Risky,5,0.535,24.08,71.2,0,12.69,2.82
14.24,65.83,604,Risky,5,0.481,7.94,120.1,1,9.41,3.18
23.99,60.69,621,Spoiled,5,0.098,15.92,180.1,0,15.85,1.71
25.93,79.52,131,Risky,5,1.438,22.11,61.1,0,11.78,1.98
6.51,39.2,202,Risky,5,1.04,-6.38,79.7,0,18.34,0.17
34.2,45.32,537,Spoiled,5,0.31,20.66,38.8,0,16.5,0.7
