Grain_Type,Temperature,Humidity,Storage_Days,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall,Spoilage_Class,Hours_To_Spoilage
Sorghum,29.09,76.67,490,0.142,24.56,160.2,0.231,13.42,7.7,2,58
Maize,29.35,80.42,195,0.17,25.62,119.6,0.945,18.06,23.4,2,9
Barley,14.33,53.96,5,0.31,5.13,46.6,0.035,10.6,1.1,0,512
Wheat,5.82,53.72,174,0.958,-2.84,20.1,0.055,10.69,0.9,0,559
Barley,13.21,51.73,113,0.774,3.49,0.1,0.068,13.5,0.5,0,504
Rice,33.96,71.65,111,0.142,28.1,148.3,0.455,17.45,3.0,1,30
Rice,22.88,69.04,278,0.404,16.89,136.0,0.497,16.73,7.0,1,163
Sorghum,34.14,77.59,675,0.12,29.65,245.0,0.712,15.57,17.8,2,11
Sorghum,18.38,52.14,220,0.421,8.38,20.0,0.089,8.15,2.5,0,446
Barley,37.78,75.95,520,0.194,32.79,48.2,0.428,17.16,18.2,2,6
Barley,20.17,67.13,349,0.374,13.87,59.1,0.204,17.55,9.2,2,127
Barley,13.7,76.81,278,0.353,9.7,17.5,0.296,14.46,2.1,1,128
Rice,25.76,74.39,216,0.208,20.85,129.1,0.46,14.27,6.7,1,74
Barley,29.55,83.03,432,0.111,26.35,166.9,0.368,20.44,29.0,2,4
Maize,27.78,83.06,297,0.118,24.63,125.1,0.817,20.16,11.2,2,8
Sorghum,42.24,77.14,401,0.049,37.37,135.8,0.883,12.2,25.6,2,7
Maize,28.24,71.78,207,0.379,22.65,191.5,0.453,14.7,9.6,1,61
Barley,25.47,76.89,249,0.328,21.11,135.6,0.197,14.7,1.4,1,133
Sorghum,23.39,77.22,339,0.459,19.17,168.8,0.315,14.3,7.8,1,67
Maize,13.5,49.24,118,0.613,3.06,38.6,0.11,12.19,1.5,0,568
Rice,25.1,52.22,23,0.461,14.61,1.2,0.138,12.08,1.3,0,597
Barley,8.98,59.6,35,0.903,1.54,41.9,0.019,8.37,2.8,0,531
Barley,24.55,82.15,422,0.261,21.3,17.5,0.34,16.19,4.4,2,16
Sorghum,36.68,62.36,206,0.271,28.28,101.2,0.294,16.81,3.5,1,23
Rice,24.55,55.81,82,0.53,15.13,3.1,0.008,7.87,2.2,0,520
Wheat,8.77,69.08,147,0.46,3.42,17.7,0.074,10.83,0.7,0,577
Rice,39.25,80.17,268,0.186,35.18,281.3,0.883,21.32,8.6,2,2
Sorghum,22.43,50.46,87,0.712,11.62,7.0,0.143,14.35,1.9,1,564
Sorghum,30.34,76.16,360,0.269,25.66,151.7,0.475,13.75,4.9,1,16
Rice,45.47,74.45,263,0.129,39.82,171.4,0.534,19.92,25.7,2,5
Wheat,33.98,83.9,364,0.123,30.86,252.6,0.878,19.63,24.4,2,4
Wheat,32.31,76.59,730,0.153,27.66,80.7,0.716,21.39,21.7,2,4
Rice,15.55,48.26,93,0.814,4.66,36.5,0.149,11.44,0.1,0,511
Wheat,6.26,54.76,62,0.332,-2.17,37.5,0.024,10.28,2.8,0,563
Maize,11.72,52.29,113,0.351,2.27,26.4,0.003,11.66,1.4,0,550
Sorghum,19.47,56.11,67,0.936,10.49,18.3,0.041,9.52,1.2,0,583
Maize,33.79,90.62,231,0.195,32.03,21.1,0.36,20.34,26.2,2,3
Maize,4.82,40.07,75,0.373,-7.61,19.2,0.078,11.9,1.4,0,599
Sorghum,18.09,51.52,143,0.43,7.94,3.4,0.13,10.69,0.7,0,566
Sorghum,19.04,53.85,200,0.437,9.47,33.3,0.116,10.11,0.0,0,458
Sorghum,25.11,69.09,505,0.248,19.03,35.3,0.443,15.06,9.3,2,91
Maize,12.17,52.33,17,0.525,2.69,18.4,0.08,12.41,0.6,0,508
Sorghum,22.86,56.97,56,0.878,13.88,22.3,0.029,11.63,0.7,0,585
Wheat,11.37,53.07,143,0.998,2.15,5.4,0.039,12.7,0.1,0,585
Sorghum,24.37,72.36,218,0.469,19.07,41.3,0.441,14.6,5.1,1,78
Rice,32.75,70.5,299,0.36,26.66,179.5,0.125,12.28,4.9,1,121
Sorghum,37.66,80.63,247,0.365,33.74,155.8,0.151,13.36,0.4,2,14
Maize,14.98,76.14,263,0.257,10.81,144.8,0.338,15.12,5.1,1,130
Barley,7.32,45.9,50,0.927,-3.56,21.2,0.037,9.98,0.6,0,514
Wheat,14.48,59.37,155,0.478,6.65,27.9,0.049,9.53,0.9,0,545
Maize,10.74,49.18,15,0.585,0.51,3.5,0.001,10.66,0.6,0,502
Barley,13.97,54.12,102,0.744,4.84,27.5,0.004,10.54,2.2,0,549
Barley,13.77,40.99,33,0.731,0.74,5.9,0.009,15.0,1.1,0,519
Rice,35.37,85.06,252,0.143,32.46,200.1,0.45,22.72,16.0,2,2
Sorghum,18.74,53.0,228,0.592,8.96,37.9,0.083,8.72,1.9,0,478
Rice,18.9,62.6,39,0.355,11.6,2.2,0.118,10.38,2.4,0,505
Barley,25.02,76.09,178,0.264,20.5,124.4,0.415,11.95,8.2,1,97
Maize,20.09,74.4,203,0.261,15.39,95.8,0.255,15.05,1.3,1,112
Sorghum,39.48,79.55,453,0.179,35.26,118.8,0.817,15.02,15.2,2,8
Wheat,20.59,62.99,138,0.364,13.29,21.7,0.217,13.45,3.2,1,385
Barley,5.64,39.61,46,0.831,-7.02,22.3,0.092,11.56,2.8,0,541
Wheat,25.45,79.18,164,0.323,21.57,158.0,0.176,17.32,4.8,2,56
Sorghum,20.33,50.13,74,0.302,9.6,2.5,0.018,11.04,0.8,0,543
Barley,11.91,62.39,130,0.667,4.95,6.9,0.017,9.7,1.0,0,524
Maize,9.0,63.15,94,0.93,2.37,9.7,0.146,10.88,0.0,0,565
Maize,24.18,71.9,222,0.353,18.78,137.6,0.395,14.66,6.8,1,80
Rice,27.26,72.54,229,0.256,21.88,102.0,0.403,16.28,2.0,1,59
Barley,7.95,65.38,108,0.64,1.86,26.4,0.05,8.9,1.4,0,492
Barley,31.14,80.46,547,0.15,27.37,131.0,0.851,15.84,15.6,2,9
Sorghum,38.37,78.93,717,0.131,34.05,291.2,0.681,13.55,20.8,2,7
Rice,23.03,64.14,114,0.56,15.88,48.1,0.104,11.89,1.4,0,573
Wheat,18.4,74.81,294,0.283,13.85,197.3,0.349,13.11,8.5,1,82
Maize,11.6,48.54,58,0.844,1.12,12.0,0.054,9.03,1.0,0,562
Rice,29.01,68.64,278,0.403,22.65,91.7,0.325,14.31,0.3,1,165
Wheat,18.92,72.85,418,0.287,13.94,45.6,0.412,14.48,6.6,1,62
Sorghum,21.55,50.31,75,0.841,10.77,35.8,0.138,10.2,1.6,0,592
Wheat,10.58,58.06,4,0.908,2.68,45.6,0.016,13.28,0.7,0,515
Wheat,19.57,70.88,470,0.143,14.14,113.1,0.129,12.9,6.6,1,151
Wheat,23.86,67.28,140,0.249,17.42,97.9,0.273,15.44,7.9,1,212
Rice,28.5,77.24,281,0.367,24.12,31.6,0.483,15.47,4.6,1,63
Barley,27.45,75.45,278,0.127,22.71,198.8,0.382,18.81,13.5,2,16
Rice,29.25,73.63,252,0.42,24.04,132.8,0.271,17.19,2.8,1,124
Sorghum,21.47,51.18,212,0.631,10.95,7.2,0.114,9.11,2.5,0,438
Maize,19.21,76.86,321,0.152,15.05,79.2,0.332,13.92,3.4,1,54
Sorghum,19.75,55.78,80,0.74,10.66,29.1,0.118,9.96,1.3,0,533
Barley,25.32,77.73,301,0.218,21.14,68.8,0.142,17.49,6.4,2,34
Rice,36.66,82.06,447,0.074,33.08,63.8,0.597,21.42,12.6,2,2
Maize,24.01,80.14,205,0.187,20.37,36.0,0.14,16.93,4.8,2,58
Maize,25.45,76.21,346,0.303,20.95,17.8,0.488,12.49,7.9,1,72
Maize,34.07,82.22,294,0.066,30.59,220.3,0.585,19.59,8.0,2,6
Wheat,11.8,43.71,160,0.444,-0.15,35.7,0.061,10.21,2.8,0,601
Barley,31.14,77.11,420,0.14,26.64,282.7,0.827,17.87,23.7,2,9
Barley,10.55,62.97,169,0.532,3.8,5.0,0.003,10.93,2.2,0,510
Barley,31.78,76.28,510,0.196,27.07,224.3,0.806,21.41,24.9,2,5
Barley,17.24,67.65,268,0.23,11.2,108.7,0.198,15.19,7.8,1,173
Barley,20.9,72.68,233,0.231,15.8,66.8,0.481,12.58,6.1,1,73
Sorghum,22.1,65.27,495,0.338,15.27,108.6,0.406,14.86,0.1,1,87
Wheat,10.83,63.39,8,0.437,4.16,39.4,0.031,7.78,2.5,0,511
Barley,30.06,70.81,321,0.014,24.16,166.9,0.904,19.0,17.8,2,6
Wheat,37.66,78.83,657,0.05,33.34,239.6,0.384,20.3,13.9,2,3
Maize,15.36,35.49,68,0.465,0.17,2.3,0.053,11.67,2.0,0,594
Wheat,12.19,51.49,41,0.81,2.48,17.1,0.096,13.75,1.0,0,530
Barley,32.23,82.67,636,0.137,28.89,218.1,0.382,16.32,22.1,2,7
Rice,19.65,54.28,28,0.504,10.16,42.0,0.094,13.0,1.2,0,535
Rice,17.35,57.86,17,0.44,8.96,35.9,0.096,13.12,2.0,0,493
Rice,40.61,80.95,468,0.083,36.68,169.0,0.662,23.24,23.3,2,1
Barley,17.26,68.04,304,0.166,11.3,35.8,0.219,11.39,0.7,1,209
Sorghum,20.34,44.72,219,0.83,7.92,41.4,0.117,10.25,0.0,0,427
Rice,37.05,93.55,520,0.031,35.83,174.7,0.426,20.55,5.8,2,1
Sorghum,32.39,68.28,299,0.165,25.78,30.1,0.406,15.04,3.2,1,46
Rice,15.26,69.13,81,0.917,9.63,34.6,0.095,12.55,1.7,0,494
Barley,18.56,82.63,402,0.299,15.54,89.4,0.229,14.89,5.1,2,71
Barley,35.29,82.73,665,0.072,31.89,199.2,0.776,17.62,10.0,2,4
Rice,26.75,65.91,277,0.173,19.83,132.2,0.108,15.06,2.0,1,244
Barley,21.0,69.09,273,0.28,15.11,158.5,0.414,15.29,6.1,2,122
Wheat,30.0,75.5,612,0.08,25.18,296.8,0.813,18.21,11.2,2,10
Rice,19.95,59.36,219,0.134,11.78,23.3,0.393,14.52,4.1,1,229
Rice,40.85,80.54,395,0.004,36.82,66.4,0.579,22.96,23.3,2,1
Barley,18.78,73.33,239,0.1,13.9,189.2,0.21,14.31,3.9,1,98
Barley,28.82,76.98,612,0.185,24.37,203.0,0.46,16.55,14.0,2,14
Sorghum,35.97,77.96,397,0.056,31.5,180.9,0.652,16.44,11.6,2,5
Sorghum,28.68,71.03,443,0.4,22.9,149.1,0.127,15.12,7.2,2,79
Maize,2.47,60.16,43,0.478,-4.46,16.5,0.076,11.87,0.0,0,518
Maize,34.35,79.81,369,0.158,30.34,165.2,0.613,22.71,25.0,2,4
Wheat,27.54,76.64,477,0.141,23.06,32.1,0.45,13.86,9.8,2,24
Rice,17.21,62.14,95,0.768,9.9,17.2,0.059,12.87,0.7,0,593
Sorghum,40.78,79.31,730,0.151,36.47,237.0,0.402,12.13,5.7,2,7
Barley,10.64,59.37,81,0.7,3.05,35.0,0.123,12.74,1.6,0,535
Maize,13.56,43.63,37,0.784,1.42,8.9,0.11,9.62,1.6,0,527
Barley,13.45,77.75,302,0.284,9.64,58.6,0.487,13.01,7.2,1,64
Wheat,32.87,80.14,720,0.087,28.98,280.9,0.351,22.11,26.8,2,3
Wheat,13.4,49.17,130,0.754,2.95,8.5,0.106,11.71,0.4,0,544
Maize,15.21,51.95,108,0.59,5.4,4.6,0.083,11.74,1.1,0,555
Maize,21.54,69.61,239,0.425,15.74,23.4,0.336,15.45,9.5,1,125
Wheat,7.13,64.45,111,0.762,0.88,18.0,0.147,10.32,0.3,0,569
Maize,6.99,53.13,96,0.675,-1.9,18.2,0.019,10.29,0.9,0,533
Wheat,21.72,68.44,492,0.324,15.65,70.1,0.399,14.11,6.5,1,102
Barley,18.83,68.79,354,0.229,12.97,52.5,0.311,15.28,8.5,2,97
Wheat,29.19,73.83,143,0.299,24.03,157.7,0.112,17.75,5.5,1,38
Barley,21.05,70.19,195,0.136,15.4,169.3,0.308,14.4,6.4,1,63
Rice,41.38,68.62,114,0.39,34.41,135.3,0.171,17.17,6.9,1,58
Barley,31.4,74.36,341,0.186,26.27,68.8,0.572,17.1,22.7,2,9
Rice,32.79,64.9,352,0.472,25.3,192.7,0.188,12.84,9.1,1,215
Sorghum,17.97,50.97,239,0.824,7.67,12.2,0.133,11.56,2.9,0,499
Maize,14.94,54.42,90,0.699,5.82,40.0,0.097,11.84,0.9,0,579
Maize,30.71,90.22,520,0.065,28.92,271.3,0.509,16.84,20.2,2,5
Sorghum,18.57,53.22,85,0.757,8.86,34.4,0.069,8.51,2.5,0,493
Rice,22.06,51.1,114,0.723,11.47,41.6,0.12,12.29,0.2,0,576
Sorghum,17.87,56.03,40,0.655,8.97,18.1,0.053,9.05,2.7,0,533
Barley,9.08,47.26,144,0.468,-1.56,32.5,0.036,9.42,1.2,0,531
Maize,17.13,76.41,160,0.168,12.94,166.1,0.269,13.92,1.4,1,107
Barley,31.53,80.96,568,0.126,27.85,41.1,0.667,18.55,10.2,2,4
Wheat,14.27,72.95,277,0.291,9.48,136.6,0.288,13.36,0.8,1,225
Barley,24.46,82.17,364,0.317,21.21,68.8,0.122,15.12,6.0,2,77
Barley,14.09,56.35,159,0.393,5.53,1.9,0.122,9.07,2.0,0,525
Wheat,11.21,58.08,20,0.624,3.27,39.5,0.057,10.33,1.6,0,542
Rice,21.62,48.42,101,0.82,10.26,21.7,0.077,8.31,1.9,0,548
Rice,39.32,83.3,224,0.161,35.95,45.4,0.413,20.27,28.8,2,1
Rice,29.35,55.23,347,0.129,19.42,97.3,0.368,14.78,0.0,1,108
Rice,26.03,78.02,360,0.103,21.89,120.5,0.32,14.4,5.3,1,49
Maize,23.18,71.65,120,0.418,17.77,174.1,0.281,13.88,1.0,1,242
Maize,10.78,65.9,43,0.408,4.66,8.2,0.132,11.25,1.9,0,515
Rice,19.27,69.88,208,0.497,13.63,105.8,0.474,14.78,5.1,1,215
Maize,32.81,86.47,471,0.183,30.24,50.3,0.49,21.93,13.3,2,2
Rice,26.77,79.5,274,0.158,22.92,184.5,0.467,12.53,1.8,1,107
Sorghum,22.14,47.52,205,0.691,10.45,17.5,0.081,9.64,1.4,0,449
Wheat,21.85,71.37,369,0.149,16.43,141.0,0.115,16.24,4.3,2,65
Rice,19.99,49.29,57,0.414,9.03,14.8,0.144,12.81,2.0,0,590
Wheat,36.23,81.93,639,0.074,32.63,261.7,0.439,20.46,6.4,2,1
Barley,20.64,68.44,437,0.22,14.62,58.2,0.385,13.56,9.9,1,103
Rice,35.04,87.0,291,0.146,32.54,163.0,0.585,21.74,16.0,2,2
Sorghum,21.8,59.75,199,0.507,13.62,24.9,0.062,9.47,2.9,0,470
Rice,21.35,49.3,26,0.497,10.28,11.1,0.116,10.41,2.0,0,571
Maize,32.78,79.6,526,0.054,28.77,132.3,0.96,21.26,6.9,2,5
Rice,38.14,84.44,515,0.129,35.04,83.3,0.407,21.19,24.0,2,2
Maize,17.78,67.55,295,0.119,11.69,105.4,0.32,14.09,1.9,1,164
Barley,23.35,76.24,317,0.461,18.92,15.4,0.175,12.92,3.1,2,93
Wheat,25.31,75.13,293,0.421,20.58,151.7,0.422,14.11,3.6,2,33
Barley,35.45,86.16,566,0.101,32.77,187.1,0.872,21.27,11.7,2,1
Wheat,21.81,74.62,370,0.423,17.09,43.3,0.218,14.52,4.1,1,98
Barley,23.87,71.79,339,0.238,18.46,45.0,0.319,13.96,7.3,1,61
Wheat,9.32,58.16,34,0.792,1.52,47.4,0.047,9.62,1.2,0,493
Maize,15.1,78.25,224,0.431,11.34,14.6,0.281,15.6,9.7,1,230
Rice,33.02,76.22,95,0.128,28.26,126.3,0.38,16.55,7.9,1,34
Barley,33.66,77.4,353,0.148,29.14,151.6,0.807,22.96,29.5,2,5
Barley,14.56,55.59,118,0.947,5.77,17.0,0.109,11.31,1.4,0,508
Wheat,19.03,75.26,503,0.282,14.55,170.0,0.153,14.64,7.7,2,101
Rice,37.53,89.9,512,0.114,35.58,124.7,0.875,21.57,9.4,2,1
Wheat,17.02,71.03,323,0.168,11.73,91.2,0.276,16.46,6.8,2,66
Maize,17.11,80.3,332,0.432,13.69,71.5,0.203,17.06,1.2,2,53
Maize,20.37,69.08,293,0.34,14.51,22.5,0.332,15.96,0.8,1,187
Wheat,10.67,51.22,153,0.434,1.01,47.5,0.052,11.44,0.8,0,509
Maize,8.79,70.9,122,0.385,3.8,1.0,0.145,9.7,2.7,0,396
Maize,17.16,81.78,256,0.422,14.02,190.9,0.162,16.27,8.0,2,71
Wheat,6.23,65.03,175,0.411,0.15,3.6,0.017,10.56,2.2,0,601
Wheat,14.02,82.29,493,0.387,11.05,181.2,0.241,13.72,2.3,1,119
Rice,26.23,82.72,243,0.248,23.05,141.9,0.464,14.18,7.3,2,62
Sorghum,22.27,51.11,211,0.746,11.67,17.6,0.052,9.33,2.4,0,455
Sorghum,36.84,76.38,369,0.133,31.98,138.9,0.758,20.55,18.7,2,2
Barley,31.05,80.81,273,0.181,27.35,273.8,0.672,17.53,12.0,2,9
Maize,12.23,47.31,65,0.379,1.34,47.8,0.104,13.11,2.1,0,533
Maize,22.93,69.77,124,0.345,17.11,113.7,0.183,13.97,8.3,1,380
Maize,24.42,80.21,296,0.119,20.78,35.9,0.482,14.52,4.5,2,48
Sorghum,20.44,48.38,10,0.725,9.17,12.8,0.103,10.54,1.5,0,554
Wheat,22.27,77.55,211,0.18,18.15,128.2,0.452,16.28,2.2,2,24
Wheat,24.79,66.71,401,0.159,18.17,166.4,0.438,13.74,7.0,1,76
Rice,35.94,75.23,316,0.213,30.85,22.8,0.121,16.53,8.3,2,11
Rice,24.87,45.43,20,0.95,12.26,16.7,0.021,12.97,1.1,0,543
Sorghum,16.91,54.09,167,0.906,7.56,22.3,0.02,9.13,0.9,0,520
Sorghum,13.86,54.75,84,0.726,4.9,6.3,0.07,9.49,2.7,0,509
Barley,31.24,79.01,500,0.059,27.15,149.4,0.606,15.05,6.9,2,12
