Temperature,Humidity,Storage_Days,Spoilage_Label,Grain_Type,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall
41.7,70.22,545,Spoiled,3,0.659,35.13,192.3,1,15.77,2.54
24.86,43.15,216,Risky,3,1.291,11.47,137.0,1,15.64,1.93
22.63,93.68,271,Risky,3,0.689,21.56,72.1,0,11.35,0.51
27.92,53.35,649,Spoiled,3,0.075,17.54,194.1,1,18.79,0.36
36.28,62.18,234,Risky,3,0.64,27.86,170.6,0,15.49,1.63
21.8,46.06,311,Safe,3,0.875,9.68,93.0,0,10.24,0.4
37.31,83.42,82,Spoiled,3,0.437,34.01,141.5,0,10.67,2.54
25.27,51.68,266,Safe,3,1.477,14.6,142.2,0,10.77,1.17
20.59,57.74,536,Risky,3,0.95,11.96,103.2,0,10.89,4.53
40.67,51.05,439,Spoiled,3,1.487,28.53,178.4,0,13.66,1.86
40.39,80.32,660,Spoiled,3,0.603,36.32,29.0,0,17.86,1.58
19.16,41.93,637,Spoiled,3,1.414,5.91,150.8,0,20.89,2.31
17.84,73.23,501,Spoiled,3,0.435,12.98,82.1,1,17.89,0.31
37.03,85.72,444,Spoiled,3,0.482,34.23,122.8,0,10.53,1.21
41.73,52.47,239,Spoiled,3,1.438,29.98,86.3,1,21.47,2.18
28.43,62.49,709,Risky,3,0.318,20.56,43.2,0,14.89,0.15
24.33,48.12,44,Risky,3,0.812,12.64,34.9,1,14.26,2.0
22.02,57.51,271,Risky,3,0.927,13.24,165.8,1,17.86,0.95
23.57,46.02,246,Safe,3,0.379,11.27,171.5,0,10.03,1.41
40.41,69.71,54,Spoiled,3,0.589,33.77,37.4,1,15.45,1.78
31.63,88.56,699,Spoiled,3,0.53,29.5,154.0,1,16.68,1.83
19.93,70.91,17,Risky,3,0.504,14.49,83.9,0,21.8,0.36
40.3,64.52,116,Risky,3,1.036,32.29,166.8,0,16.72,1.9
15.68,40.25,690,Spoiled,3,1.219,2.2,177.9,0,21.83,1.53
24.53,41.82,357,Safe,3,1.411,10.7,71.0,0,15.69,2.88
16.18,53.34,436,Risky,3,0.201,6.68,126.0,1,11.86,1.14
41.76,60.96,670,Spoiled,3,0.64,32.65,53.5,0,18.31,0.85
27.81,49.8,588,Spoiled,3,0.636,16.35,75.3,0,18.21,0.04
15.65,59.86,220,Spoiled,3,0.33,7.87,136.3,1,21.18,2.28
25.9,83.87,303,Risky,3,1.338,22.96,68.2,0,13.35,1.51
33.29,54.59,680,Spoiled,3,1.435,22.88,152.1,1,13.07,5.13
15.62,80.0,188,Spoiled,3,0.75,12.18,77.5,1,18.84,1.1
35.28,48.98,73,Spoiled,3,0.813,22.91,89.4,0,18.84,2.87
25.84,58.26,376,Risky,3,1.409,17.01,141.1,0,14.46,1.32
23.65,72.53,566,Spoiled,3,0.464,18.41,30.0,1,16.11,0.43
40.75,80.14,25,Spoiled,3,1.161,36.63,170.5,1,19.22,2.81
41.03,56.46,448,Spoiled,3,0.824,30.62,66.0,1,10.26,1.87
23.29,86.33,159,Risky,3,1.31,20.87,116.1,0,16.53,8.83
32.29,61.37,346,Risky,3,1.433,23.89,175.3,0,10.26,3.22
31.74,70.34,380,Spoiled,3,1.177,25.66,87.5,0,21.64,0.14
41.71,59.52,566,Spoiled,3,1.259,32.18,28.0,0,17.85,1.93
20.04,73.25,617,Risky,3,0.173,15.1,88.8,0,15.32,3.21
39.5,77.57,264,Spoiled,3,0.809,34.83,112.0,0,19.22,8.9
41.06,56.47,114,Spoiled,3,0.869,30.65,177.8,0,20.09,3.34
39.87,47.18,336,Spoiled,3,0.846,26.45,120.6,1,11.78,2.34
16.61,70.6,252,Risky,3,1.015,11.24,103.6,0,21.69,0.63
28.88,62.23,652,Risky,3,0.486,20.91,93.7,1,10.13,0.9
32.95,82.73,715,Spoiled,3,0.511,29.61,58.3,0,12.93,5.94
26.53,44.75,547,Risky,3,1.35,13.53,132.5,1,14.59,0.04
37.16,71.51,159,Spoiled,3,1.356,31.12,59.2,1,14.75,0.15
26.73,86.17,186,Risky,3,0.833,24.22,29.2,0,10.02,0.11
36.56,46.91,365,Spoiled,3,1.217,23.36,147.0,0,11.54,1.55
40.04,91.54,37,Spoiled,3,0.864,38.39,58.5,1,21.28,3.07
30.42,75.5,284,Spoiled,3,0.887,25.59,95.6,0,18.57,0.28
30.33,47.26,252,Spoiled,3,0.205,17.83,185.4,0,19.29,0.03
22.24,76.68,240,Risky,3,0.213,17.94,108.0,0,17.03,1.05
18.48,69.55,193,Risky,3,0.742,12.8,171.7,0,20.33,2.08
32.65,87.57,413,Spoiled,3,0.42,30.31,53.9,0,12.61,0.29
34.88,71.25,402,Spoiled,3,0.309,28.88,90.2,1,13.13,0.57
41.11,72.3,615,Spoiled,3,0.757,35.1,82.8,0,10.28,4.18
39.86,50.29,648,Spoiled,3,0.501,27.53,120.2,0,16.29,1.71
35.1,51.4,726,Spoiled,3,0.66,23.55,171.6,0,17.65,4.51
41.08,55.85,60,Spoiled,3,0.178,30.47,64.7,0,16.03,2.9
15.11,51.62,729,Spoiled,3,0.502,5.22,76.2,1,21.1,0.48
31.47,42.35,86,Risky,3,0.488,17.11,184.6,0,21.18,3.26
26.87,86.36,80,Risky,3,1.207,24.39,141.1,0,12.31,1.29
34.21,83.85,148,Risky,3,0.989,31.07,175.6,0,10.48,3.15
22.74,76.11,24,Risky,3,1.379,18.31,47.4,0,11.61,4.61
36.68,47.06,634,Spoiled,3,0.729,23.52,122.2,0,18.66,2.25
25.77,58.23,104,Risky,3,0.281,16.93,198.6,0,19.31,0.07
28.27,49.63,52,Safe,3,0.611,16.72,97.9,0,15.37,3.04
30.77,73.51,140,Spoiled,3,0.117,25.47,176.6,1,15.6,1.34
37.9,47.75,717,Spoiled,3,0.758,24.87,156.6,0,11.06,2.01
41.28,63.34,405,Spoiled,3,0.871,32.88,88.1,0,16.01,2.89
23.23,47.79,206,Risky,3,1.382,11.53,69.9,0,21.09,0.75
32.12,40.78,399,Spoiled,3,0.471,17.1,153.7,0,17.6,0.51
28.36,91.85,538,Spoiled,3,0.271,26.9,69.1,0,14.47,0.85
26.37,54.55,237,Safe,3,0.318,16.46,133.3,0,13.51,0.25
21.64,53.97,377,Spoiled,3,0.999,11.91,51.7,1,17.94,0.41
40.86,71.09,538,Spoiled,3,1.308,34.56,101.3,0,20.67,0.77
36.46,91.62,543,Spoiled,3,0.275,34.87,138.8,0,11.7,1.13
16.75,50.56,445,Spoiled,3,1.054,6.43,138.7,1,21.72,0.45
40.5,88.0,333,Spoiled,3,0.581,38.11,124.1,0,12.24,0.57
18.8,70.21,306,Safe,3,1.468,13.25,125.6,0,12.71,0.15
38.33,47.65,615,Spoiled,3,1.303,25.22,38.8,1,19.02,5.05
35.16,52.0,401,Spoiled,3,1.089,23.79,187.0,0,18.93,0.96
33.62,45.84,102,Spoiled,3,1.084,20.32,139.4,1,21.46,1.98
27.47,91.45,664,Spoiled,3,0.974,25.95,35.8,0,21.93,1.33
37.96,89.7,432,Spoiled,3,0.151,35.96,162.0,0,20.27,2.53
21.56,45.21,647,Risky,3,1.054,9.18,148.9,0,10.21,1.77
36.95,65.38,270,Spoiled,3,1.133,29.36,63.6,0,22.0,0.66
39.49,79.0,429,Spoiled,3,0.308,35.15,58.9,0,16.98,0.44
30.07,51.67,142,Spoiled,3,0.38,19.01,95.9,0,20.87,1.58
29.76,90.0,271,Spoiled,3,0.056,27.94,33.9,0,11.27,4.78
15.85,75.97,521,Risky,3,0.646,11.62,148.8,0,15.5,0.08
19.94,62.81,173,Safe,3,1.412,12.63,121.5,0,15.48,0.02
33.91,40.56,312,Risky,3,1.459,18.61,113.1,0,17.93,6.06
36.59,94.98,64,Spoiled,3,1.235,35.65,119.9,0,18.71,2.45
28.41,45.34,272,Safe,3,0.648,15.43,116.8,0,10.11,0.56
38.21,61.21,18,Risky,3,0.499,29.4,91.5,0,10.1,2.01
16.31,58.97,122,Safe,3,0.802,8.27,21.8,0,10.17,3.54
26.12,66.59,292,Risky,3,1.282,19.4,165.7,0,13.36,0.75
27.12,68.23,650,Risky,3,1.402,20.75,120.6,0,14.59,3.18
41.36,51.16,423,Spoiled,3,0.855,29.2,93.9,0,14.4,3.92
39.62,68.46,446,Spoiled,3,0.666,32.7,155.3,0,18.28,1.07
15.46,61.02,445,Risky,3,0.818,7.98,68.4,0,17.68,0.62
31.41,68.28,693,Spoiled,3,1.158,24.84,95.3,0,19.45,2.34
19.91,70.93,606,Risky,3,0.32,14.47,70.0,0,15.63,0.34
38.11,61.07,220,Risky,3,1.353,29.26,180.8,0,10.86,1.49
24.16,64.49,205,Risky,3,0.192,17.03,107.6,0,15.79,0.04
16.62,89.66,611,Spoiled,3,1.121,14.91,91.7,0,16.9,0.06
41.07,43.32,324,Risky,3,1.381,26.08,135.5,0,14.68,0.92
38.89,83.54,297,Spoiled,3,1.44,35.58,34.5,0,14.78,1.43
17.97,89.25,350,Risky,3,0.539,16.17,124.3,0,15.5,3.19
21.78,80.65,519,Spoiled,3,0.257,18.3,167.1,0,14.84,1.68
38.22,77.37,428,Spoiled,3,1.055,33.54,49.7,0,21.23,0.32
