Temperature,Humidity,Storage_Days,Spoilage_Label,Grain_Type,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall
20.76,73.5,278,Risky,1,0.266,15.85,51.0,1,10.9,0.09
32.69,72.72,380,Risky,1,0.623,27.13,164.4,0,10.68,4.03
23.3,62.27,729,Risky,1,0.295,15.67,94.9,0,17.45,1.03
38.97,70.53,136,Spoiled,1,1.021,32.61,34.9,1,13.58,0.61
18.12,69.88,411,Spoiled,1,0.973,12.53,196.1,1,20.92,1.49
20.5,49.95,431,Risky,1,0.273,9.7,105.1,0,13.17,5.1
40.37,47.42,527,Spoiled,1,1.379,26.99,115.8,0,17.26,2.99
26.95,71.09,719,Spoiled,1,1.022,21.25,146.8,0,16.48,0.46
22.78,83.77,586,Spoiled,1,1.001,19.89,73.9,0,14.85,0.74
23.84,72.35,165,Spoiled,1,1.49,18.56,124.4,1,21.16,0.74
36.13,91.66,198,Spoiled,1,0.338,34.55,127.0,1,21.98,0.05
29.55,56.03,437,Risky,1,1.364,19.84,135.1,1,13.15,3.17
20.07,85.14,301,Risky,1,0.767,17.49,140.1,0,13.38,2.28
23.13,50.62,363,Spoiled,1,0.502,12.31,155.4,0,21.3,3.0
23.17,89.77,263,Spoiled,1,1.275,21.39,186.0,1,14.73,1.82
28.38,78.18,482,Risky,1,0.669,24.2,135.0,0,12.9,3.75
29.55,75.23,225,Spoiled,1,0.885,24.69,95.4,0,21.73,3.0
39.58,91.15,165,Spoiled,1,0.897,37.86,151.1,0,16.27,3.37
32.31,60.82,15,Risky,1,0.691,23.76,150.1,0,17.21,2.98
18.62,88.51,502,Spoiled,1,0.187,16.68,170.8,0,19.92,0.05
18.05,90.84,87,Spoiled,1,1.492,16.53,106.3,0,21.43,0.36
26.86,91.4,116,Risky,1,0.951,25.34,71.9,0,12.9,0.98
27.89,41.38,475,Risky,1,1.498,13.55,100.1,0,15.36,2.48
33.03,76.89,169,Risky,1,0.295,28.42,191.5,0,13.86,6.87
25.63,42.17,57,Risky,1,1.142,11.81,150.3,0,20.26,0.09
34.28,56.04,213,Spoiled,1,1.455,24.23,79.0,0,21.56,9.08
40.06,86.78,459,Spoiled,1,0.387,37.42,152.3,0,10.69,1.28
31.79,55.5,79,Risky,1,0.564,21.76,51.2,0,13.92,0.88
29.51,76.24,27,Risky,1,0.773,24.87,40.3,0,17.27,2.38
38.94,41.39,511,Spoiled,1,0.326,23.42,85.6,0,16.55,0.56
39.45,89.65,606,Spoiled,1,1.455,37.42,115.1,0,19.81,3.81
32.51,61.41,485,Spoiled,1,0.415,24.11,67.6,0,20.76,1.63
18.57,71.5,556,Risky,1,1.086,13.31,100.3,0,13.32,5.78
36.95,94.55,596,Spoiled,1,0.641,35.92,98.6,0,13.89,0.07
21.95,70.6,577,Risky,1,1.313,16.36,89.7,0,10.86,0.23
20.56,85.9,637,Spoiled,1,0.338,18.11,31.3,1,11.69,4.47
22.38,84.6,368,Spoiled,1,0.063,19.65,131.1,1,21.14,1.75
36.8,67.76,34,Risky,1,1.007,29.84,43.0,0,11.48,1.07
37.65,63.77,196,Spoiled,1,0.631,29.58,163.1,0,16.64,0.86
30.68,58.06,573,Spoiled,1,0.925,21.47,30.5,0,16.54,0.79
31.09,92.06,404,Spoiled,1,0.494,29.64,62.7,1,17.53,0.33
40.64,54.14,511,Spoiled,1,0.76,29.52,165.1,1,16.98,0.2
26.4,91.86,591,Spoiled,1,0.294,24.97,56.3,0,12.88,0.64
28.35,88.56,652,Spoiled,1,1.15,26.27,176.5,0,12.04,4.73
35.95,54.64,319,Risky,1,0.429,25.35,179.8,0,13.46,0.2
34.34,53.86,223,Spoiled,1,0.321,23.62,137.2,0,20.91,1.22
36.04,70.05,67,Spoiled,1,0.578,29.69,93.7,1,10.61,3.31
33.01,85.04,411,Spoiled,1,0.799,30.15,100.7,1,17.14,1.9
29.07,74.61,219,Spoiled,1,0.096,24.09,121.5,1,16.88,1.13
21.6,75.04,301,Risky,1,1.422,16.98,97.2,1,14.58,0.17
34.44,90.09,94,Spoiled,1,1.149,32.57,95.5,0,16.83,4.57
35.79,78.11,634,Spoiled,1,0.686,31.36,153.4,0,16.82,0.07
32.25,47.21,317,Risky,1,0.9,19.55,186.4,0,10.0,2.26
36.49,81.82,124,Spoiled,1,0.472,32.86,77.1,1,14.08,3.36
20.82,82.47,188,Spoiled,1,1.497,17.72,50.7,0,17.76,5.11
38.28,88.03,143,Spoiled,1,1.401,35.93,197.4,0,14.43,6.43
37.35,71.04,479,Spoiled,1,0.437,31.19,51.7,1,11.85,2.89
37.7,87.18,670,Spoiled,1,0.776,35.19,108.4,0,16.07,3.53
19.28,92.55,482,Spoiled,1,0.723,18.04,134.0,0,14.76,3.64
23.83,81.14,79,Spoiled,1,0.427,20.39,41.4,1,18.24,0.45
39.36,68.55,710,Spoiled,1,1.448,32.47,42.4,0,18.33,0.2
38.08,94.32,160,Spoiled,1,1.131,37.0,193.1,0,17.83,3.48
36.55,41.23,725,Spoiled,1,0.823,21.22,197.6,0,10.82,1.87
32.91,70.01,261,Risky,1,0.605,26.7,33.6,0,10.67,1.72
36.78,66.44,491,Spoiled,1,0.479,29.48,22.3,0,18.85,0.12
38.35,54.39,85,Risky,1,0.086,27.49,174.8,0,12.61,1.03
30.43,94.17,724,Spoiled,1,0.217,29.38,92.9,0,20.52,3.99
27.35,45.91,542,Risky,1,0.247,14.67,128.9,0,11.58,1.73
33.36,50.95,301,Spoiled,1,0.231,21.81,21.0,0,16.79,4.22
30.27,65.56,206,Spoiled,1,1.36,23.08,145.8,0,21.25,1.91
37.53,57.64,728,Spoiled,1,0.144,27.73,89.1,0,15.34,0.23
18.69,40.86,153,Risky,1,0.748,5.12,123.9,0,21.82,9.52
23.74,77.26,673,Spoiled,1,0.578,19.51,61.4,1,11.51,0.24
29.97,82.61,5,Risky,1,1.229,26.68,52.5,0,12.5,9.09
33.7,51.98,698,Spoiled,1,1.077,22.45,28.2,0,18.43,1.63
40.68,76.56,604,Spoiled,1,1.264,35.73,46.9,0,21.96,5.21
26.49,58.96,590,Risky,1,0.768,17.8,143.6,0,15.76,4.4
34.56,45.3,387,Risky,1,0.065,20.97,36.1,0,12.92,1.32
18.47,52.29,161,Risky,1,0.922,8.51,93.4,1,15.52,1.95
23.27,89.11,703,Spoiled,1,1.313,21.37,30.2,0,18.26,6.85
26.41,75.7,81,Risky,1,0.477,21.76,164.8,0,10.1,1.64
31.85,69.8,198,Spoiled,1,0.106,25.63,58.3,0,20.79,1.59
22.84,77.87,497,Spoiled,1,0.553,18.77,114.9,1,19.17,1.97
27.52,92.1,409,Spoiled,1,1.409,26.12,134.8,0,15.19,1.43
32.95,60.92,335,Risky,1,0.137,24.39,77.9,0,10.67,0.56
29.95,75.81,477,Spoiled,1,0.541,25.2,90.5,0,20.47,0.64
28.95,79.38,564,Spoiled,1,0.634,25.01,194.9,0,20.87,10.56
33.18,91.21,48,Spoiled,1,1.159,31.55,149.6,0,14.7,5.1
25.1,94.8,142,Risky,1,1.162,24.2,168.5,0,10.89,8.65
26.68,78.6,513,Spoiled,1,0.872,22.64,74.6,1,14.17,2.29
29.95,50.8,77,Risky,1,0.351,18.63,86.8,1,12.31,2.77
38.56,82.22,195,Spoiled,1,0.256,34.97,67.7,0,14.17,3.24
18.13,55.96,449,Risky,1,0.807,9.2,25.8,0,16.94,0.06
18.87,50.95,104,Safe,1,1.12,8.49,178.4,0,17.32,1.6
