Temperature,Humidity,Storage_Days,Spoilage_Label,Grain_Type,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall
38.51,68.09,443,Spoiled,4,1.38,31.55,56.9,1,16.91,0.18
26.82,33.0,611,Spoiled,4,0.787,9.18,35.3,0,17.2,4.04
24.71,36.24,620,Risky,4,0.623,8.72,133.0,0,12.3,0.1
26.17,45.74,17,Safe,4,1.426,13.54,173.4,0,10.97,1.12
28.76,46.08,128,Risky,4,1.447,16.0,130.8,1,9.99,0.32
35.18,88.74,480,Spoiled,4,0.185,33.03,153.1,1,16.89,1.47
18.52,77.87,721,Spoiled,4,0.205,14.58,113.7,0,17.7,0.3
18.21,55.78,271,Spoiled,4,0.079,9.22,124.0,1,18.99,0.09
15.82,45.14,160,Risky,4,0.972,3.95,145.8,1,13.37,1.64
21.65,47.87,650,Risky,4,0.387,10.12,141.0,0,13.93,1.72
24.33,69.12,503,Risky,4,0.176,18.3,62.5,0,12.5,0.59
37.53,83.24,531,Spoiled,4,0.249,34.19,182.7,0,11.34,0.39
34.66,33.06,171,Risky,4,1.068,16.03,150.5,0,16.25,0.74
17.36,72.89,450,Risky,4,1.077,12.45,46.0,0,15.33,3.13
43.43,41.7,295,Spoiled,4,0.278,27.54,106.5,1,9.39,0.7
21.89,85.4,91,Spoiled,4,1.417,19.32,127.1,0,17.62,3.77
18.78,80.85,287,Spoiled,4,0.912,15.42,96.3,0,19.36,2.84
37.78,73.57,391,Spoiled,4,0.054,32.22,32.8,0,12.49,1.5
24.05,72.59,215,Risky,4,0.269,18.81,199.7,1,9.85,0.67
18.49,79.27,661,Spoiled,4,1.364,14.83,127.7,0,15.87,0.0
41.12,53.57,502,Spoiled,4,0.166,29.78,105.4,1,18.79,1.46
35.56,74.04,142,Spoiled,4,0.192,30.2,29.5,1,9.55,1.41
15.8,56.48,385,Risky,4,0.083,7.16,32.1,0,19.21,5.09
38.68,75.52,470,Spoiled,4,0.643,33.55,89.3,0,11.7,1.94
30.38,31.89,700,Risky,4,1.102,11.76,132.3,0,14.74,4.19
15.22,50.65,69,Safe,4,1.156,5.05,76.2,1,11.83,0.23
39.65,66.39,659,Spoiled,4,1.011,32.18,70.2,0,9.77,2.23
21.73,61.15,330,Risky,4,0.166,13.91,53.8,1,9.96,3.16
26.9,84.16,662,Spoiled,4,1.185,23.99,25.2,1,14.24,2.53
34.99,53.75,381,Spoiled,4,1.324,24.19,148.2,1,17.03,1.18
32.13,89.89,461,Spoiled,4,1.417,30.25,152.2,1,14.86,1.51
32.29,77.64,379,Risky,4,0.63,27.87,124.9,0,11.94,2.98
29.45,34.61,688,Risky,4,1.108,12.19,98.6,0,9.83,2.53
26.6,86.1,536,Risky,4,0.887,24.08,181.3,0,12.64,1.38
25.39,65.18,30,Risky,4,0.476,18.37,152.8,0,19.12,0.55
29.35,51.0,394,Risky,4,0.819,18.14,61.5,0,14.96,2.77
17.59,85.34,411,Risky,4,0.479,15.1,83.7,0,9.93,2.11
22.83,34.58,59,Risky,4,0.879,6.38,112.4,1,13.21,0.73
29.96,83.39,552,Risky,4,1.452,26.83,22.7,0,9.36,1.82
22.82,43.83,251,Safe,4,0.82,9.86,124.2,0,9.21,0.83
28.48,80.36,484,Spoiled,4,0.062,24.76,40.8,1,15.82,0.22
38.84,66.67,707,Spoiled,4,0.598,31.49,52.9,0,11.06,3.32
35.61,54.68,372,Spoiled,4,1.128,25.05,58.1,0,19.68,3.53
29.79,64.53,373,Spoiled,4,0.956,22.37,53.9,0,17.14,0.11
23.3,44.86,462,Risky,4,1.236,10.64,89.2,1,9.95,3.02
15.36,75.74,298,Risky,4,0.594,11.1,31.7,1,9.07,3.97
19.08,79.74,379,Risky,4,1.285,15.49,164.4,0,14.09,1.42
41.69,80.93,322,Spoiled,4,0.713,37.72,164.0,0,16.29,1.93
17.57,56.86,25,Risky,4,0.938,8.91,103.7,0,16.98,5.01
16.71,68.64,355,Safe,4,0.889,10.91,26.0,0,10.64,2.2
24.92,38.53,212,Safe,4,0.349,9.82,129.5,0,14.9,0.31
20.84,60.74,563,Risky,4,0.191,12.97,112.1,0,9.53,6.15
39.46,77.85,527,Spoiled,4,0.653,34.85,155.1,1,10.37,1.24
41.39,37.38,8,Risky,4,0.248,23.89,37.7,0,12.2,3.33
43.09,79.02,586,Spoiled,4,1.374,38.64,84.1,0,15.7,0.17
44.82,76.79,390,Spoiled,4,0.394,39.78,137.0,1,13.93,1.68
33.88,83.2,289,Spoiled,4,0.198,30.62,90.5,1,17.49,2.78
17.37,82.92,349,Risky,4,0.137,14.44,173.9,0,11.19,0.06
23.43,52.65,389,Risky,4,1.008,13.19,72.0,0,17.74,1.64
30.51,78.22,49,Risky,4,0.293,26.27,43.5,0,9.9,4.69
24.03,66.73,17,Risky,4,1.003,17.45,190.7,0,18.42,0.46
30.96,32.4,101,Spoiled,4,0.967,12.51,117.3,1,17.56,0.11
26.09,42.51,149,Risky,4,1.04,12.35,146.6,0,17.52,0.09
30.01,72.51,570,Spoiled,4,0.871,24.51,39.1,1,9.62,2.48
19.38,70.8,243,Risky,4,0.524,13.94,160.4,0,17.03,0.1
22.02,79.52,537,Risky,4,0.471,18.31,171.5,0,13.76,1.01
40.44,31.49,238,Risky,4,0.884,20.25,99.5,0,13.44,2.91
22.6,86.88,446,Risky,4,0.878,20.3,138.8,0,11.24,3.08
32.35,41.85,348,Risky,4,0.267,17.71,138.5,1,12.84,0.87
24.05,68.14,107,Safe,4,1.283,17.8,129.6,0,13.65,0.03
33.97,41.44,209,Risky,4,0.524,19.0,80.3,0,11.07,2.32
15.39,80.81,599,Risky,4,1.374,12.11,156.2,0,9.83,0.3
16.26,85.08,87,Risky,4,1.167,13.75,113.4,0,13.02,0.01
19.98,80.5,200,Spoiled,4,0.248,16.52,197.4,1,18.64,0.99
