Temperature,Humidity,Storage_Days,Spoilage_Label,Grain_Type,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall
34.22,40.76,572,Spoiled,2,0.96,18.96,53.2,0,11.83,2.28
14.89,85.43,228,Risky,2,1.443,12.47,102.2,0,10.25,0.49
38.51,86.88,97,Spoiled,2,0.792,35.92,27.4,0,9.12,3.23
9.93,51.2,629,Risky,2,1.21,0.32,89.6,1,12.98,4.78
13.0,61.62,313,Spoiled,2,0.71,5.8,163.0,1,17.86,0.95
23.05,38.24,492,Spoiled,2,0.62,8.04,195.8,0,17.85,1.97
30.88,38.33,466,Risky,2,1.328,15.02,37.1,0,14.42,0.23
10.38,89.14,122,Risky,2,0.288,8.67,43.8,0,12.38,1.1
16.58,66.24,41,Spoiled,2,1.207,10.25,68.4,1,18.92,0.03
34.88,72.16,634,Spoiled,2,0.379,29.1,54.6,1,16.49,3.08
28.33,57.79,711,Spoiled,2,1.13,19.2,39.6,0,18.53,0.04
11.4,41.2,421,Risky,2,1.158,-1.32,129.1,0,15.68,2.79
34.98,47.42,227,Spoiled,2,0.133,22.1,127.2,0,17.15,0.21
17.07,72.91,583,Risky,2,0.054,12.17,68.2,0,13.61,0.77
12.43,52.22,540,Spoiled,2,0.351,2.91,39.2,0,18.33,0.11
7.69,64.05,550,Spoiled,2,0.143,1.32,97.4,0,18.26,1.32
14.06,41.43,240,Risky,2,0.517,1.15,178.9,0,16.72,2.73
31.19,41.17,60,Risky,2,0.789,16.42,94.9,0,13.7,1.01
32.63,43.09,535,Spoiled,2,1.283,18.43,76.7,0,13.45,8.61
21.37,53.59,469,Risky,2,0.301,11.56,123.2,0,18.82,3.11
21.96,52.17,336,Risky,2,0.218,11.7,43.6,0,14.24,1.31
13.42,81.9,313,Spoiled,2,0.756,10.39,118.9,1,10.88,1.5
29.72,64.62,52,Spoiled,2,0.096,22.32,38.1,1,14.07,2.42
27.43,78.99,393,Spoiled,2,0.16,23.45,27.4,0,14.26,0.29
21.62,76.91,681,Spoiled,2,0.473,17.39,74.4,0,9.58,7.0
7.57,63.1,78,Risky,2,0.478,1.0,171.4,0,16.39,2.36
24.72,81.97,143,Spoiled,2,1.283,21.43,49.4,1,15.79,1.03
28.66,36.23,690,Spoiled,2,0.555,12.2,66.9,0,16.49,4.22
33.31,44.91,536,Spoiled,2,0.776,19.71,109.0,0,10.55,0.94
30.03,43.18,526,Spoiled,2,0.642,16.13,153.7,0,14.94,1.4
39.54,41.94,190,Spoiled,2,0.813,24.17,122.6,1,15.15,1.51
25.55,77.45,384,Spoiled,2,0.898,21.31,128.6,0,12.82,0.36
30.77,45.88,323,Spoiled,2,0.669,17.75,128.2,0,15.53,5.0
9.86,77.44,365,Risky,2,1.402,6.1,74.9,0,14.58,0.06
7.15,72.7,671,Spoiled,2,1.272,2.58,192.2,0,18.25,0.64
15.96,71.89,290,Risky,2,0.981,10.89,20.6,1,10.33,2.46
15.78,80.61,435,Risky,2,0.96,12.45,124.6,0,11.4,0.26
36.0,46.85,608,Spoiled,2,0.91,22.83,68.3,0,9.99,1.0
31.23,88.67,265,Spoiled,2,1.339,29.13,34.0,0,10.46,0.08
21.94,83.45,169,Spoiled,2,1.116,19.0,95.0,0,16.36,0.08
16.88,87.71,305,Risky,2,1.38,14.83,118.1,0,14.32,1.07
5.85,38.66,85,Risky,2,0.679,-7.15,62.1,1,13.17,1.8
37.05,61.18,327,Spoiled,2,0.221,28.3,159.8,0,12.72,0.09
14.28,35.41,667,Risky,2,1.436,-0.82,103.9,0,10.05,2.12
13.53,71.39,242,Risky,2,1.059,8.45,25.2,0,9.16,7.27
36.28,67.35,681,Spoiled,2,0.669,29.24,176.4,0,11.71,1.67
28.34,53.09,151,Safe,2,1.226,17.85,25.1,0,10.62,1.36
18.81,81.51,478,Risky,2,1.48,15.57,68.5,0,9.92,4.93
15.34,56.67,216,Risky,2,0.116,6.78,184.6,0,15.3,18.24
12.38,87.69,46,Spoiled,2,1.251,10.39,80.4,0,19.07,0.1
12.02,51.23,131,Risky,2,0.838,2.26,58.8,0,19.66,2.82
11.15,39.12,225,Risky,2,0.774,-2.25,158.5,0,19.4,0.66
39.96,78.28,96,Spoiled,2,0.097,35.44,69.2,0,17.55,0.3
22.45,36.8,350,Safe,2,0.736,6.95,65.6,0,10.95,3.59
27.45,79.44,651,Spoiled,2,1.427,23.57,28.8,0,17.1,2.54
15.39,67.9,296,Risky,2,0.818,9.49,135.5,1,13.15,1.45
30.63,41.09,339,Spoiled,2,0.091,15.89,50.4,0,16.58,0.88
24.79,64.26,619,Spoiled,2,0.626,17.57,187.7,0,18.51,5.17
17.73,39.86,343,Safe,2,1.454,3.9,93.0,0,13.8,0.2
22.24,62.05,136,Safe,2,0.289,14.62,44.3,0,11.38,0.9
16.79,39.23,52,Safe,2,0.697,2.84,186.7,0,14.54,0.67
16.5,82.1,633,Spoiled,2,0.699,13.43,150.3,0,17.73,0.66
22.56,70.23,389,Spoiled,2,0.723,16.86,157.0,1,15.07,0.98
20.2,56.01,426,Safe,2,0.43,11.14,89.5,0,9.41,0.02
25.22,89.82,313,Spoiled,2,1.031,23.42,129.1,0,18.07,1.22
30.76,52.92,154,Spoiled,2,1.143,20.03,21.1,0,16.26,7.63
7.37,55.86,368,Risky,2,0.808,-0.86,150.5,1,13.87,0.56
33.21,85.35,40,Spoiled,2,1.285,30.41,184.6,0,13.27,4.35
29.23,66.57,299,Spoiled,2,1.083,22.35,190.9,0,18.29,1.34
38.32,50.04,304,Spoiled,2,1.095,26.04,23.6,0,19.31,0.57
22.15,61.48,483,Risky,2,1.279,14.39,164.3,0,9.9,0.11
15.87,67.55,92,Risky,2,0.334,9.87,115.8,0,17.09,0.07
25.39,57.04,357,Risky,2,1.232,16.25,193.3,0,15.92,2.38
11.67,39.24,59,Risky,2,0.394,-1.74,75.7,0,17.38,0.98
38.36,86.4,412,Spoiled,2,0.566,35.67,172.6,1,16.52,1.37
20.23,70.29,386,Risky,2,0.223,14.64,116.7,0,11.98,2.52
14.16,35.15,688,Risky,2,1.297,-1.02,151.2,0,9.74,0.21
11.77,89.02,409,Risky,2,0.98,10.02,56.2,0,14.73,4.15
34.98,54.08,423,Spoiled,2,1.092,24.28,182.8,1,14.69,4.5
14.32,70.83,208,Safe,2,1.435,9.09,153.8,0,11.05,0.81
29.94,42.57,204,Spoiled,2,0.103,15.82,118.2,0,16.18,0.4
11.04,84.52,392,Spoiled,2,1.052,8.53,180.6,1,18.25,11.65
25.77,40.42,726,Spoiled,2,1.355,11.29,88.8,0,18.39,2.7
11.44,38.46,103,Safe,2,1.155,-2.22,120.8,1,10.42,1.71
9.61,84.8,634,Spoiled,2,0.25,7.18,164.1,0,16.24,0.94
35.41,73.43,523,Spoiled,2,1.352,29.91,156.5,0,14.52,0.15
37.71,60.54,483,Spoiled,2,1.338,28.74,167.4,0,14.46,0.74
29.39,80.53,645,Spoiled,2,1.146,25.68,115.4,0,12.23,1.43
6.72,76.25,489,Risky,2,0.685,2.84,29.0,0,10.6,0.93
35.35,84.54,719,Spoiled,2,0.972,32.33,88.8,0,12.62,0.64
11.63,68.76,663,Risky,2,0.195,6.08,167.2,0,11.98,3.13
14.99,54.2,244,Safe,2,1.331,5.81,21.1,0,10.59,2.84
7.53,70.82,715,Spoiled,2,1.269,2.58,121.4,1,9.14,0.68
12.05,38.6,271,Safe,2,0.118,-1.62,190.3,0,12.35,0.84
37.3,56.04,330,Spoiled,2,1.139,27.03,170.1,1,13.21,0.17
20.91,38.24,37,Risky,2,1.252,6.14,37.3,1,11.82,3.89
10.76,37.6,680,Spoiled,2,0.563,-3.13,130.5,0,19.01,2.38
30.92,73.93,528,Spoiled,2,1.272,25.71,99.7,0,18.51,3.07
20.35,87.88,160,Spoiled,2,0.316,18.27,191.9,1,17.39,0.69
12.45,68.63,594,Risky,2,0.08,6.84,192.3,0,10.01,0.01
9.97,55.97,386,Safe,2,0.998,1.59,82.1,0,14.1,0.59
13.42,51.97,264,Safe,2,0.9,3.75,119.5,0,12.44,1.04
6.42,41.75,613,Risky,2,0.435,-5.63,82.8,0,10.48,0.78
29.51,66.11,307,Spoiled,2,0.291,22.5,189.7,0,19.88,0.22
13.55,83.87,443,Risky,2,0.828,10.87,198.1,0,10.48,1.38
34.63,80.76,619,Spoiled,2,1.256,30.82,168.3,0,16.76,1.29
11.75,74.46,410,Risky,2,0.749,7.36,43.8,0,10.87,0.32
11.68,56.69,695,Spoiled,2,0.582,3.37,140.4,0,19.98,0.28
14.03,71.47,688,Spoiled,2,0.354,8.95,78.7,1,10.79,5.0
19.8,58.47,274,Safe,2,0.292,11.41,68.3,0,9.53,1.86
26.1,77.94,450,Spoiled,2,0.781,21.94,37.6,0,12.25,3.95
15.82,63.97,711,Spoiled,2,0.285,9.01,110.6,0,17.96,1.22
27.43,71.23,472,Spoiled,2,0.723,21.75,157.3,0,13.44,0.16
39.83,80.84,101,Spoiled,2,0.169,35.9,94.1,0,14.06,1.79
24.97,71.21,57,Risky,2,0.946,19.38,142.9,1,14.67,1.62
36.78,87.65,424,Spoiled,2,1.256,34.38,26.6,0,13.62,0.64
6.37,66.52,545,Risky,2,0.572,0.59,48.1,1,12.1,0.83
33.92,57.18,90,Risky,2,0.468,24.23,157.3,0,10.86,0.6
7.37,84.4,23,Risky,2,0.479,4.91,54.8,0,12.51,0.81
8.54,53.42,376,Safe,2,1.25,-0.39,160.1,0,11.66,7.89
8.22,52.57,126,Risky,2,1.009,-0.9,122.9,1,16.37,5.53
12.36,59.62,492,Risky,2,1.131,4.72,178.4,0,11.29,2.55
13.18,71.73,629,Spoiled,2,1.363,8.19,43.0,0,19.55,1.33
35.29,49.84,720,Spoiled,2,1.369,23.21,98.9,0,13.3,1.0
12.33,52.66,353,Safe,2,1.009,2.93,176.7,0,11.94,0.56
30.23,43.73,32,Spoiled,2,0.5,16.51,67.9,0,19.1,3.56
38.22,84.2,509,Spoiled,2,1.49,35.07,183.3,0,12.36,0.05
24.92,59.42,530,Risky,2,0.888,16.46,47.3,1,10.55,1.7
18.16,62.55,185,Risky,2,0.3,10.89,45.0,0,15.29,0.87
28.47,66.14,437,Spoiled,2,0.938,21.52,34.9,0,19.69,3.52
39.47,87.93,468,Spoiled,2,0.577,37.08,100.9,0,12.58,0.14
34.51,39.49,600,Spoiled,2,1.228,18.71,133.8,0,9.59,3.02
25.19,78.25,504,Spoiled,2,0.997,21.12,86.7,0,16.06,0.37
19.8,40.92,276,Risky,2,0.673,6.13,192.0,0,19.67,0.23
21.62,44.34,629,Spoiled,2,0.523,8.95,102.9,0,17.35,1.74
16.21,76.59,426,Risky,2,0.316,12.09,194.6,0,14.5,0.31
28.97,77.69,267,Spoiled,2,0.852,24.67,158.8,0,11.57,0.86
29.55,69.94,30,Spoiled,2,0.115,23.47,96.3,0,16.21,0.93
26.55,51.03,138,Risky,2,0.178,15.58,37.2,1,10.76,0.04
9.61,89.34,29,Risky,2,0.978,7.94,190.6,1,9.68,0.7
31.21,38.0,328,Spoiled,2,1.368,15.18,192.5,0,18.68,2.91
38.35,81.49,324,Spoiled,2,0.714,34.6,90.9,0,13.68,2.55
37.26,89.84,411,Spoiled,2,0.874,35.3,110.5,0,14.32,0.57
33.17,37.56,633,Spoiled,2,1.28,16.73,184.6,0,17.47,4.36
31.21,46.44,521,Spoiled,2,0.544,18.35,53.7,0,18.87,1.28
6.26,72.14,570,Risky,2,0.963,1.62,58.7,0,12.06,0.41
14.31,38.41,590,Spoiled,2,0.661,0.33,95.1,1,18.48,0.82
32.09,88.5,77,Spoiled,2,1.087,29.94,36.2,0,18.29,1.22
16.31,67.69,231,Risky,2,0.162,10.32,166.1,1,10.62,0.75
36.94,75.67,141,Spoiled,2,1.159,31.91,42.4,1,11.35,4.23
37.02,58.95,604,Spoiled,2,1.124,27.64,183.7,0,9.59,3.4
13.83,60.76,574,Spoiled,2,0.149,6.38,150.0,0,19.34,9.0
20.08,66.85,708,Spoiled,2,1.431,13.72,63.8,0,18.08,0.17
14.75,55.86,473,Risky,2,0.294,6.02,94.4,0,18.92,0.9
30.67,55.64,344,Spoiled,2,0.195,20.76,113.9,0,17.5,0.35
20.17,87.38,9,Spoiled,2,0.702,18.0,62.1,0,17.13,3.21
26.64,46.82,118,Risky,2,0.995,14.32,189.3,1,15.53,3.93
20.15,88.41,298,Risky,2,0.798,18.17,150.8,0,11.26,2.14
16.39,52.31,721,Risky,2,0.791,6.59,35.9,0,14.07,6.27
11.79,62.07,484,Spoiled,2,0.401,4.76,72.0,0,19.4,1.05
14.61,74.61,43,Risky,2,0.998,10.15,110.3,1,10.47,0.59
18.84,54.85,576,Risky,2,0.624,9.56,177.7,0,13.06,0.66
7.57,69.6,101,Safe,2,0.477,2.37,122.7,0,11.17,5.0
7.06,55.36,459,Risky,2,1.213,-1.28,74.8,1,11.68,1.03
5.33,75.97,138,Risky,2,0.872,1.44,153.9,1,9.05,2.45
18.05,60.31,10,Risky,2,0.62,10.24,165.5,1,9.08,2.65
32.22,44.37,88,Risky,2,0.611,18.53,136.8,0,15.5,0.71
39.01,77.19,386,Spoiled,2,1.197,34.26,157.6,0,10.17,3.52
34.13,58.0,139,Risky,2,0.804,24.67,22.0,1,12.77,0.9
28.52,85.79,456,Spoiled,2,0.698,25.9,24.9,0,14.9,0.35
28.31,47.42,548,Spoiled,2,0.688,16.04,83.1,0,18.68,0.09
26.4,65.13,424,Risky,2,1.187,19.31,44.7,0,10.32,0.03
33.33,75.9,414,Spoiled,2,0.8,28.48,40.9,0,10.35,1.15
6.48,39.15,194,Risky,2,0.99,-6.42,124.1,0,18.59,0.69
24.73,75.96,354,Risky,2,0.851,20.2,199.0,0,10.2,0.62
15.1,58.89,320,Safe,2,0.705,7.12,54.9,0,11.7,0.29
12.91,70.22,137,Risky,2,1.204,7.62,27.1,1,15.53,3.61
9.08,53.39,311,Risky,2,0.361,0.11,39.0,0,19.26,1.52
23.44,51.09,608,Risky,2,0.883,12.74,78.7,0,15.01,1.75
31.18,84.37,688,Spoiled,2,0.899,28.22,126.7,1,12.37,1.29
33.92,42.27,659,Spoiled,2,0.914,19.28,165.8,0,9.86,0.27
14.15,48.44,472,Risky,2,0.602,3.43,29.6,0,15.27,1.0
31.62,60.06,292,Risky,2,0.414,22.9,140.1,0,10.35,1.05
33.15,37.66,663,Spoiled,2,0.276,16.75,50.9,0,17.71,0.67
20.07,37.41,490,Spoiled,2,0.544,5.08,23.6,0,16.85,1.08
9.02,71.33,310,Risky,2,0.205,4.11,161.8,1,11.81,3.71
31.05,76.83,79,Spoiled,2,1.423,26.49,116.4,1,17.4,1.67
37.79,54.53,577,Spoiled,2,0.636,27.02,94.6,0,19.51,1.41
39.21,36.19,148,Risky,2,1.014,21.44,49.1,0,15.58,2.1
22.23,69.94,223,Safe,2,0.917,16.48,159.9,0,13.72,5.52
35.26,89.09,438,Spoiled,2,0.631,33.18,165.1,0,13.35,5.88
32.88,48.9,2,Risky,2,0.429,20.7,175.5,1,10.6,0.01
39.47,36.8,495,Spoiled,2,1.182,21.94,197.1,0,14.13,4.7
28.97,84.46,644,Spoiled,2,0.406,26.08,175.8,0,12.93,1.13
7.54,38.88,601,Spoiled,2,0.745,-5.56,149.2,0,19.18,0.01
25.63,49.95,327,Risky,2,1.098,14.4,24.8,1,14.94,0.51
36.95,86.63,134,Spoiled,2,1.243,34.34,89.1,1,12.68,0.52
9.2,38.16,546,Risky,2,0.238,-4.32,194.9,0,11.51,1.94
36.27,86.44,503,Spoiled,2,0.611,33.63,48.9,0,15.74,3.9
24.14,40.23,172,Risky,2,0.345,9.77,63.3,0,15.55,7.8
29.78,63.66,333,Risky,2,1.202,22.13,82.2,0,14.52,0.49
30.15,64.14,479,Spoiled,2,0.26,22.61,26.4,0,14.69,6.44
38.0,44.51,483,Spoiled,2,0.173,23.78,189.0,0,18.24,1.25
12.58,35.8,609,Risky,2,0.65,-2.17,70.6,0,13.6,2.73
36.85,44.38,472,Risky,2,0.367,22.7,164.6,0,13.57,0.3
23.49,73.76,568,Spoiled,2,0.402,18.53,93.0,0,18.9,0.2
18.91,44.22,727,Spoiled,2,1.005,6.46,53.5,0,19.49,2.4
13.34,55.92,203,Safe,2,0.504,4.72,30.1,0,10.06,0.62
21.85,54.48,534,Risky,2,0.753,12.25,133.1,1,10.67,3.14
25.85,84.9,432,Spoiled,2,0.468,23.11,154.3,1,11.68,2.13
25.6,39.87,601,Risky,2,0.088,10.94,82.8,0,9.7,2.4
35.15,47.49,336,Risky,2,0.748,22.28,94.4,0,9.93,0.83
33.33,65.69,599,Spoiled,2,1.205,26.01,90.3,0,9.83,1.49
39.22,80.9,329,Spoiled,2,1.479,35.32,173.8,0,11.25,0.45
38.87,61.52,259,Spoiled,2,0.882,30.1,94.2,0,18.25,3.02
15.43,58.01,334,Safe,2,0.989,7.21,87.8,0,13.98,1.37
25.44,88.9,256,Spoiled,2,1.016,23.47,40.9,0,16.53,0.46
12.21,36.95,421,Spoiled,2,1.174,-2.07,141.7,1,18.76,8.02
14.79,80.12,628,Spoiled,2,1.043,11.39,167.3,1,9.35,1.06
26.1,63.59,350,Spoiled,2,0.248,18.64,168.0,0,18.28,0.71
11.58,57.81,180,Risky,2,1.104,3.55,85.0,1,19.9,1.93
39.45,75.92,349,Spoiled,2,0.217,34.39,20.0,0,13.77,7.86
39.63,42.05,426,Risky,2,0.937,24.3,32.9,0,14.07,2.33
21.05,76.64,647,Spoiled,2,0.927,16.78,86.6,1,9.42,1.56
30.36,63.99,162,Risky,2,0.46,22.77,115.9,0,13.9,3.01
17.4,70.92,414,Risky,2,1.404,12.07,191.6,0,9.56,6.94
27.77,69.47,135,Risky,2,0.359,21.66,29.8,0,15.65,10.52
11.49,64.38,484,Risky,2,1.318,5.0,179.6,1,14.84,0.98
10.91,47.22,140,Risky,2,0.981,0.1,146.5,1,17.14,1.6
22.7,47.89,451,Risky,2,0.823,11.08,195.4,0,14.79,0.32
37.86,83.31,514,Spoiled,2,0.568,34.52,68.5,0,13.18,0.3
23.25,38.22,122,Spoiled,2,0.264,8.21,36.9,1,17.16,5.13
32.31,50.52,563,Spoiled,2,0.992,20.7,45.4,1,14.99,0.85
19.29,76.27,135,Spoiled,2,1.418,15.0,104.4,1,18.31,1.68
13.44,74.58,629,Risky,2,1.302,9.01,184.0,0,9.07,1.97
26.7,52.85,3,Risky,2,1.26,16.27,125.9,0,15.43,1.13
28.88,54.42,579,Spoiled,2,0.883,18.75,190.9,0,15.22,0.19
5.96,70.97,29,Risky,2,1.316,1.1,77.4,0,13.29,0.42
16.41,59.28,497,Risky,2,0.479,8.44,168.4,0,12.94,1.49
31.04,54.87,728,Spoiled,2,0.983,20.88,82.1,0,15.87,1.93
34.25,80.42,276,Spoiled,2,0.741,30.38,98.9,1,13.91,0.67
35.67,40.23,362,Spoiled,2,1.298,20.04,146.8,0,16.02,1.49
24.82,44.0,10,Safe,2,0.848,11.72,72.0,0,11.88,5.63
23.69,52.96,171,Risky,2,0.285,13.52,143.8,0,17.67,2.32
18.75,76.24,218,Risky,2,1.467,14.48,118.2,0,9.99,5.35
17.68,35.36,403,Safe,2,1.295,2.17,62.7,0,13.38,0.54
32.71,63.85,608,Spoiled,2,0.224,24.95,133.3,0,12.21,2.79
39.96,88.48,720,Spoiled,2,1.498,37.68,67.4,0,10.17,4.91
29.33,39.87,228,Risky,2,0.775,14.26,47.0,1,12.37,3.68
29.52,38.93,8,Risky,2,0.55,14.06,73.0,0,17.97,4.53
36.53,62.52,311,Spoiled,2,1.305,28.19,56.0,1,13.11,0.48
13.75,82.2,317,Spoiled,2,0.059,10.77,128.8,0,17.95,8.73
23.21,41.7,234,Risky,2,0.805,9.47,44.1,0,16.77,1.98
11.1,56.72,12,Risky,2,1.285,2.83,155.5,0,16.95,0.12
27.82,41.83,271,Spoiled,2,0.792,13.65,53.2,0,19.02,2.08
7.61,62.82,288,Risky,2,1.415,0.98,87.7,0,17.76,1.37
36.26,39.6,320,Risky,2,0.901,20.31,166.2,0,9.13,0.34
26.27,83.05,598,Spoiled,2,0.602,23.15,26.3,0,17.56,0.23
29.01,59.85,585,Risky,2,0.525,20.4,156.3,0,10.17,3.04
31.85,72.27,252,Spoiled,2,0.38,26.22,198.7,0,11.63,1.98
27.72,40.68,194,Risky,2,1.226,13.13,87.5,0,17.82,0.66
20.17,58.09,551,Spoiled,2,0.975,11.66,95.3,1,15.87,2.7
30.4,39.28,161,Risky,2,1.216,14.98,32.5,0,14.74,0.8
36.56,70.13,615,Spoiled,2,0.615,30.21,35.6,0,12.65,0.17
12.99,83.28,161,Spoiled,2,0.202,10.22,100.6,0,16.45,3.26
22.57,38.58,182,Risky,2,0.695,7.75,152.5,0,16.16,0.77
18.75,56.48,553,Risky,2,0.442,9.91,94.6,0,15.3,1.55
5.38,58.72,328,Risky,2,0.461,-2.05,45.5,1,13.96,1.51
15.34,49.26,13,Safe,2,0.094,4.76,27.8,0,9.79,2.53
23.82,45.53,148,Safe,2,0.763,11.34,64.2,0,9.5,1.22
25.64,56.83,241,Spoiled,2,1.492,16.43,194.9,0,19.31,0.15
22.25,48.16,516,Risky,2,0.707,10.75,60.0,0,11.47,0.85
31.24,35.35,727,Risky,2,0.849,14.09,36.7,0,9.65,0.12
20.54,61.01,238,Risky,2,1.474,12.75,54.9,0,19.76,4.31
32.54,74.44,244,Spoiled,2,1.161,27.39,137.4,0,15.23,1.03
37.79,43.24,61,Spoiled,2,0.844,23.12,89.6,0,19.41,7.75
31.27,43.38,190,Risky,2,1.419,17.32,42.0,0,14.78,0.61
29.8,56.79,592,Spoiled,2,0.958,20.29,159.0,1,19.56,0.69
15.67,86.72,589,Spoiled,2,0.79,13.46,88.1,0,17.76,5.29
12.6,43.95,136,Risky,2,1.137,0.65,38.2,0,17.27,0.28
7.32,40.75,372,Safe,2,1.278,-5.14,161.4,0,11.52,0.43
31.65,85.3,105,Spoiled,2,1.277,28.87,173.8,0,18.41,0.01
39.33,38.07,586,Spoiled,2,1.497,22.38,151.9,0,13.88,0.63
15.72,51.6,610,Risky,2,0.15,5.78,190.2,0,9.97,3.46
23.71,46.79,284,Risky,2,0.231,11.65,99.4,1,9.93,2.74
18.81,35.14,331,Risky,2,0.654,3.08,198.9,0,18.16,2.04
20.82,35.5,491,Spoiled,2,0.356,4.99,77.5,0,19.96,3.13
37.42,53.1,260,Spoiled,2,0.772,26.22,130.0,1,16.39,0.96
15.75,52.64,613,Risky,2,0.875,6.09,71.5,0,14.71,0.18
32.98,47.1,63,Risky,2,1.496,20.18,72.3,0,15.5,0.21
35.74,73.51,631,Spoiled,2,0.344,30.25,54.3,0,18.07,9.42
8.74,63.22,26,Risky,2,1.005,2.14,125.1,0,17.23,0.12
29.59,78.32,143,Risky,2,0.425,25.4,116.1,0,10.27,1.44
10.93,52.78,459,Safe,2,0.923,1.67,44.2,0,12.41,4.9
27.9,45.68,126,Risky,2,0.257,15.09,162.3,0,9.37,0.59
5.73,49.37,317,Risky,2,0.963,-4.05,77.2,0,15.12,2.81
36.27,50.92,168,Spoiled,2,0.134,24.46,40.2,0,19.5,2.64
13.43,60.45,663,Risky,2,1.326,5.93,125.7,0,15.98,0.89
23.93,58.57,169,Risky,2,1.323,15.3,82.3,0,18.15,4.89
36.88,37.46,394,Spoiled,2,1.143,19.96,192.9,0,19.22,0.59
9.48,87.45,541,Spoiled,2,0.691,7.5,176.4,0,14.43,0.19
32.31,60.2,221,Risky,2,0.604,23.59,22.8,0,10.13,1.27
32.28,43.77,315,Spoiled,2,1.163,18.37,139.1,1,9.85,1.04
21.98,37.06,85,Risky,2,0.629,6.64,33.4,0,19.03,1.32
38.05,38.64,711,Spoiled,2,0.945,21.49,81.3,0,10.0,0.03
12.03,57.96,509,Risky,2,1.316,4.01,48.6,0,10.86,11.21
9.89,70.85,466,Spoiled,2,0.362,4.85,40.9,1,16.52,1.86
31.81,44.74,532,Spoiled,2,0.254,18.29,168.0,0,13.08,0.42
22.26,45.81,27,Safe,2,1.481,10.01,174.1,0,11.48,0.27
27.67,86.94,538,Spoiled,2,0.283,25.29,80.5,0,14.79,1.34
20.74,61.86,19,Safe,2,1.137,13.15,51.2,0,12.34,6.28
6.19,50.84,521,Risky,2,0.852,-3.23,180.5,0,13.55,0.61
16.38,50.63,668,Risky,2,0.217,6.11,98.0,0,10.44,0.05
15.41,69.48,665,Risky,2,0.672,9.85,136.0,0,14.95,0.62
17.91,64.04,106,Risky,2,0.777,11.01,130.4,0,17.05,3.04
32.82,75.05,141,Spoiled,2,1.295,27.8,186.9,1,18.34,1.01
28.1,63.42,557,Spoiled,2,0.152,20.49,187.3,0,10.32,0.93
26.57,49.61,644,Risky,2,0.71,15.16,65.9,0,12.73,3.98
24.36,80.63,573,Spoiled,2,1.218,20.81,167.1,0,16.34,3.98
22.69,69.4,694,Risky,2,1.399,16.79,84.5,0,13.61,0.6
33.45,70.25,354,Spoiled,2,0.118,27.27,124.1,0,12.99,0.28
22.6,55.48,27,Safe,2,0.747,13.23,161.8,0,12.87,1.9
24.38,56.12,146,Risky,2,0.901,15.06,46.2,0,18.46,1.72
31.94,89.14,472,Spoiled,2,0.927,29.92,74.8,0,15.85,1.26
8.85,89.02,43,Spoiled,2,1.236,7.14,40.5,0,18.63,2.36
24.87,84.55,458,Risky,2,1.404,22.08,43.4,0,9.01,0.6
30.28,42.16,416,Risky,2,1.063,15.98,190.8,0,11.58,5.29
27.8,43.07,183,Risky,2,1.268,14.08,180.0,0,14.63,1.4
25.21,77.65,76,Risky,2,0.667,21.02,74.6,0,12.25,0.6
14.16,48.61,84,Risky,2,0.306,3.49,199.2,0,19.73,1.3
22.45,44.11,81,Safe,2,0.839,9.62,127.8,0,9.73,5.62
17.71,49.87,657,Risky,2,1.106,7.11,176.2,0,9.53,2.85
5.1,66.71,677,Risky,2,0.691,-0.58,177.4,0,14.65,5.51
19.56,60.88,293,Risky,2,0.827,11.8,88.8,0,18.51,0.24
24.29,64.24,339,Risky,2,1.183,17.09,196.8,1,14.91,1.9
25.28,62.83,119,Spoiled,2,1.059,17.68,26.5,1,16.23,0.61
5.96,36.48,556,Risky,2,0.747,-7.8,128.0,0,12.25,1.9
14.19,87.64,280,Spoiled,2,1.039,12.17,150.9,0,18.3,3.44
18.62,74.75,352,Risky,2,0.858,14.05,178.9,0,12.12,1.0
30.3,41.96,614,Risky,2,0.584,15.92,168.8,0,10.44,0.35
29.66,58.04,690,Risky,2,0.465,20.51,55.3,0,9.4,0.77
8.38,66.68,44,Risky,2,0.416,2.54,116.1,0,18.4,0.36
18.63,57.07,564,Risky,2,0.937,9.96,90.1,0,11.53,0.24
7.67,46.47,28,Safe,2,1.441,-3.08,116.4,0,15.18,0.07
15.89,77.34,328,Spoiled,2,0.149,11.93,45.4,1,10.18,0.11
24.73,40.61,708,Risky,2,0.621,10.44,184.0,0,12.15,1.45
36.27,66.62,685,Spoiled,2,0.191,29.04,106.9,0,19.62,4.39
9.18,89.65,66,Risky,2,1.117,7.57,65.1,0,9.89,0.62
